"id","timeOfPurchase","products","total","currency","paymentMethod","cardNumber","misc","storeId","userId","categoryId"
1,"2021-06-13 03:22:51.284","[{""vat"": 0.2, ""price"": 1.28, ""product"": ""sorghum"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.23, ""product"": ""tomatoes"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.6, ""product"": ""Macaron Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.59, ""product"": ""orange juice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.94, ""product"": ""Macaron Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.28, ""product"": ""lettuce"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.09, ""product"": ""arrowroot"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.2, ""product"": ""sausages"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.24, ""product"": ""Oatmeal Raisin Cookies"", ""isRefunded"": false}]",37.45,"€","card","1254",,17,4,5
2,"2021-07-05 12:55:48.568","[{""vat"": 0.2, ""price"": 1.76, ""product"": ""brie"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.76, ""product"": ""quinoa"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.4, ""product"": ""chicken breast 450g"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.17, ""product"": ""quinoa"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.45, ""product"": ""buckwheat"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.63, ""product"": ""ketchup"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.83, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.43, ""product"": ""brie"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.81, ""product"": ""white wine"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.16, ""product"": ""red wine"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.05, ""product"": ""quinoa"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.96, ""product"": ""salami"", ""isRefunded"": false}]",72.41,"£","card","5768",,5,1,3
3,"2021-07-02 11:20:50.186","[{""vat"": 0.2, ""price"": 3.79, ""product"": ""tooth brush"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.39, ""product"": ""cucumber"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.66, ""product"": ""pork belly slices"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.05, ""product"": ""chips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.03, ""product"": ""rocket salad"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.35, ""product"": ""cheese"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.99, ""product"": ""Gingerbread Cookies"", ""isRefunded"": false}]",30.26,"€","card","3846",,17,3,4
4,"2021-06-23 19:49:35.447","[{""vat"": 0.2, ""price"": 7.13, ""product"": ""millet"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.52, ""product"": ""rocket salad"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.64, ""product"": ""tomatoes"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.65, ""product"": ""pepsi"", ""isRefunded"": false}]",22.94,"€","card","2229",,4,2,6
5,"2021-06-28 12:10:10.076","[{""vat"": 0.2, ""price"": 5.28, ""product"": ""sweetcorn"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.91, ""product"": ""ketchup"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.59, ""product"": ""sweetcorn"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.06, ""product"": ""brown rice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.59, ""product"": ""millet"", ""isRefunded"": false}]",24.43,"€","card","1254",,7,4,7
6,"2021-07-01 12:50:13.983","[{""vat"": 0.2, ""price"": 2.86, ""product"": ""salad"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.97, ""product"": ""coca cola zero"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.75, ""product"": ""crips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.11, ""product"": ""chicken breast 450g"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.38, ""product"": ""Sugar Cookies"", ""isRefunded"": false}]",26.07,"£","card","5768",,17,1,6
7,"2021-06-23 21:57:30.016","[{""vat"": 0.2, ""price"": 3.69, ""product"": ""crips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.03, ""product"": ""red wine"", ""isRefunded"": false}]",7.72,"£","card","1254",,6,4,8
8,"2021-06-19 03:18:59.151","[{""vat"": 0.2, ""price"": 7.37, ""product"": ""Sugar Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.6, ""product"": ""white wine"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.91, ""product"": ""Biscotti Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.94, ""product"": ""chips"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.12, ""product"": ""fanta"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.08, ""product"": ""coca cola"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.88, ""product"": ""chorizo"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.62, ""product"": ""Shortbread Cookies"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.74, ""product"": ""pork belly slices"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.98, ""product"": ""coca cola"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.02, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.37, ""product"": ""Macaroon Cookies"", ""isRefunded"": false}]",53.63,"$","card","3852",,19,5,7
9,"2021-06-21 05:24:44.598","[{""vat"": 0.2, ""price"": 3.2, ""product"": ""teff"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.21, ""product"": ""pepsi"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.86, ""product"": ""bread"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.33, ""product"": ""heineken"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.89, ""product"": ""coca cola zero"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.22, ""product"": ""sorghum"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.19, ""product"": ""teff"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.81, ""product"": ""chicken breast 450g"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.92, ""product"": ""tapioca"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 2.74, ""product"": ""rump steak"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7, ""product"": ""pepsi"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 1.82, ""product"": ""millet"", ""isRefunded"": false}]",67.19,"$","card","3852",,2,5,2
10,"2021-06-01 01:26:06.564","[{""vat"": 0.2, ""price"": 5.59, ""product"": ""sweet chili sauce"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 7.66, ""product"": ""mustard"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 6.16, ""product"": ""stella"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.75, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.64, ""product"": ""brown rice"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.36, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 5.86, ""product"": ""frozen peas"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.05, ""product"": ""quinoa"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 8.6, ""product"": ""teff"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 3.24, ""product"": ""sprite"", ""isRefunded"": false}, {""vat"": 0.2, ""price"": 4.6, ""product"": ""frozen peas"", ""isRefunded"": false}]",60.51,"$","card","3852",,15,5,4
